PING 10.0.0.5 (10.0.0.5) 1000(1028) bytes of data.
1008 bytes from 10.0.0.5: icmp_seq=3 ttl=64 time=113 ms
1008 bytes from 10.0.0.5: icmp_seq=1 ttl=64 time=218 ms
1008 bytes from 10.0.0.5: icmp_seq=2 ttl=64 time=261 ms
1008 bytes from 10.0.0.5: icmp_seq=6 ttl=64 time=264 ms
1008 bytes from 10.0.0.5: icmp_seq=4 ttl=64 time=388 ms
1008 bytes from 10.0.0.5: icmp_seq=5 ttl=64 time=361 ms
1008 bytes from 10.0.0.5: icmp_seq=8 ttl=64 time=270 ms
1008 bytes from 10.0.0.5: icmp_seq=9 ttl=64 time=288 ms
1008 bytes from 10.0.0.5: icmp_seq=7 ttl=64 time=375 ms
1008 bytes from 10.0.0.5: icmp_seq=10 ttl=64 time=289 ms
1008 bytes from 10.0.0.5: icmp_seq=11 ttl=64 time=247 ms
1008 bytes from 10.0.0.5: icmp_seq=14 ttl=64 time=181 ms
1008 bytes from 10.0.0.5: icmp_seq=12 ttl=64 time=209 ms
1008 bytes from 10.0.0.5: icmp_seq=13 ttl=64 time=200 ms
1008 bytes from 10.0.0.5: icmp_seq=17 ttl=64 time=180 ms
1008 bytes from 10.0.0.5: icmp_seq=15 ttl=64 time=199 ms
1008 bytes from 10.0.0.5: icmp_seq=16 ttl=64 time=202 ms
1008 bytes from 10.0.0.5: icmp_seq=18 ttl=64 time=205 ms
1008 bytes from 10.0.0.5: icmp_seq=19 ttl=64 time=205 ms
1008 bytes from 10.0.0.5: icmp_seq=21 ttl=64 time=166 ms
1008 bytes from 10.0.0.5: icmp_seq=20 ttl=64 time=236 ms
1008 bytes from 10.0.0.5: icmp_seq=22 ttl=64 time=239 ms
1008 bytes from 10.0.0.5: icmp_seq=24 ttl=64 time=224 ms
1008 bytes from 10.0.0.5: icmp_seq=25 ttl=64 time=225 ms
1008 bytes from 10.0.0.5: icmp_seq=23 ttl=64 time=236 ms
1008 bytes from 10.0.0.5: icmp_seq=28 ttl=64 time=233 ms
